Date,Open,High,Low,Close,Adj Close,Volume
2013-11-29,75748.296875,75748.296875,75748.296875,75748.296875,75748.296875,0
2013-12-02,74951.203125,74951.203125,74951.203125,74951.203125,74951.203125,0
2013-12-03,73087.500000,73087.500000,73087.500000,73087.500000,73087.500000,0
2013-12-04,73088.601563,73088.601563,73088.601563,73088.601563,73088.601563,0
2013-12-05,71991.898438,71991.898438,71991.898438,71991.898438,71991.898438,0
2013-12-06,73378.398438,73378.398438,73378.398438,73378.398438,73378.398438,0
2013-12-09,74232.898438,74232.898438,74232.898438,74232.898438,74232.898438,0
2013-12-10,74118.000000,74118.000000,74118.000000,74118.000000,74118.000000,0
2013-12-11,73965.796875,73965.796875,73965.796875,73965.796875,73965.796875,0
2013-12-12,73071.796875,73071.796875,73071.796875,73071.796875,73071.796875,0
2013-12-13,74065.000000,74065.000000,74065.000000,74065.000000,74065.000000,0
2013-12-16,74843.398438,74843.398438,74843.398438,74843.398438,74843.398438,0
2013-12-17,70946.101563,70946.101563,70946.101563,70946.101563,70946.101563,0
2013-12-18,71417.296875,71417.296875,71417.296875,71417.296875,71417.296875,0
2013-12-19,69100.000000,69100.000000,69100.000000,69100.000000,69100.000000,0
2013-12-20,69572.796875,69572.796875,69572.796875,69572.796875,69572.796875,0
2013-12-23,68086.101563,68086.101563,68086.101563,68086.101563,68086.101563,0
2013-12-24,68997.796875,68997.796875,68997.796875,68997.796875,68997.796875,0
2013-12-25,66096.601563,66096.601563,66096.601563,66096.601563,66096.601563,0
2013-12-26,64555.199219,64555.199219,64555.199219,64555.199219,64555.199219,0
2013-12-27,63885.199219,63885.199219,63885.199219,63885.199219,63885.199219,0
2013-12-30,67985.703125,67985.703125,67985.703125,67985.703125,67985.703125,0
2013-12-31,67801.703125,67801.703125,67801.703125,67801.703125,67801.703125,0
2014-01-01,0,0,0,0,0,0
2014-01-02,66985.796875,66985.796875,66985.796875,66985.796875,66985.796875,0
2014-01-03,65967.101563,65967.101563,65967.101563,65967.101563,65967.101563,0
2014-01-06,68022.000000,68022.000000,68022.000000,68022.000000,68022.000000,0
2014-01-07,68598.601563,68598.601563,68598.601563,68598.601563,68598.601563,0
2014-01-08,67331.703125,67331.703125,67331.703125,67331.703125,67331.703125,0
2014-01-09,66413.601563,66413.601563,66413.601563,66413.601563,66413.601563,0
2014-01-10,67912.101563,67912.101563,67912.101563,67912.101563,67912.101563,0
2014-01-13,68062.296875,68062.296875,68062.296875,68062.296875,68062.296875,0
2014-01-14,68072.500000,68072.500000,68072.500000,68072.500000,68072.500000,0
2014-01-15,68134.601563,68134.601563,68134.601563,68134.601563,68134.601563,0
2014-01-16,66843.601563,66843.601563,66843.601563,66843.601563,66843.601563,0
2014-01-17,65635.000000,65635.000000,65635.000000,65635.000000,65635.000000,0
2014-01-20,65763.601563,65763.601563,65763.601563,65763.601563,65763.601563,0
2014-01-21,66318.703125,66318.703125,66318.703125,66318.703125,66318.703125,0
2014-01-22,67367.296875,67367.296875,67367.296875,67367.296875,67367.296875,0
2014-01-23,65429.300781,65429.300781,65429.300781,65429.300781,65429.300781,0
2014-01-24,64427.500000,64427.500000,64427.500000,64427.500000,64427.500000,0
2014-01-27,64568.699219,64568.699219,64568.699219,64568.699219,64568.699219,0
