"Data Source","Dünya Kalkınma Göstergeleri",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Türkiye","TUR","HIV yaygınlığı, toplam (15-49 yaş arası nüfusa %'si)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Türkiye","TUR","Eğitime yapılan kamu harcaması, toplam (GSYİH %'si)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","4.34774017333984","2.91519999504089","","2.20830011367798","1.75490999221802","2.64759993553162","2.02923011779785","1.73810994625092","1.50957000255585","","","","","","","3.36546993255615","3.42482995986938","2.2511100769043","","","0","2.8866400718689","2.52907991409302","2.65434002876282","2.74893999099731","2.87663006782532","3.02020001411438","","2.75062990188599","","","","","","4.41900014877319","4.36409997940063","4.37116003036499","","","",
"Türkiye","TUR","Okula kayıtlılık, ortaöğretim (brüt %)","SE.SEC.ENRR","","","","","","","","","","","","26.9225292205811","28.9569396972656","29.6288394927979","29.5702896118164","","32.6248016357422","34.5838394165039","36.4445686340332","36.55419921875","38.4521484375","37.5636215209961","38.3592796325684","38.9100303649902","40.403148651123","","44.5605506896973","46.0009498596191","47.9790382385254","50.2735214233398","50.9453887939453","52.7653999328613","54.4491882324219","57.9479484558105","59.6166915893555","62.2968215942383","","61.9584503173828","","71.6944732666016","73.6005325317383","83.7811584472656","88.2947616577148","90.0919570922852","86.8619689941406","83.9413528442383","87.9034194946289","90.2981491088867","88.4996032714844","80.0171966552734","84.2633819580078","88.3384475708008","85.2053680419922","100.560897827148","103.01725769043","103.050193786621","","",
"Türkiye","TUR","Okula kayıtlılık, ilköğretim (brüt %)","SE.PRM.ENRR","","","","","","","","","","","","108.134216308594","107.797996520996","108.595199584961","108.12671661377","107.22721862793","107.151878356934","105.759559631348","102.727600097656","102.659690856934","","99.8443908691406","101.36498260498","102.47225189209","108.354110717773","107.123062133789","107.597442626953","107.171379089355","108.618553161621","105.676239013672","106.028350830078","105.622001647949","105.33814239502","102.547561645508","99.982536315918","99.5952072143555","","82.8551635742188","","103.423377990723","103.409629821777","105.700340270996","106.662467956543","103.431289672852","103.292510986328","103.18049621582","102.626007080078","102.89518737793","102.481842041016","100.098220825195","101.275337219238","101.049728393555","98.6739501953125","107.271980285645","106.506332397461","103.285369873047","","",
"Türkiye","TUR","İlköğretim bitirme oranı (ilgili yaş grubuna %'si)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","88.9869384765625","91.0763931274414","96.276237487793","95.8568572998047","108.454460144043","94.0701293945313","94.8723068237305","96.9241409301758","102.611740112305","95.9693222045898","95.91162109375","93.9521026611328","","","","","","","","","98.1717071533203","102.617332458496","98.9120178222656","97.3372268676758","98.6472320556641","98.701057434082","98.9515609741211","101.248397827148","99.8580932617188","","91.564453125","92.4569473266602","","",
"Türkiye","TUR","İlk ve orta öğretimde kız öğrencilerin erkek öğrencilere oranı (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.637419998645782","0.649739980697632","0.667770028114319","0.685620009899139","","0.703939974308014","0.705839991569519","0.706789970397949","0.716350018978119","","","0.749650001525879","","0.771640002727509","","0.775020003318787","0.77403998374939","0.777090013027191","0.77649998664856","0.782260000705719","0.785009980201721","0.789849996566772","0.791509985923767","0.802479982376099","0.796209990978241","","0.804870009422302","","0.797439992427826","0.818560004234314","0.818979978561401","0.819890022277832","0.822200000286102","0.853429973125458","0.889789998531342","0.897780001163483","0.907289981842041","0.926900029182434","0.944130003452301","0.947889983654022","0.94989001750946","0.964749991893768","0.976870000362396","0.980459988117218","0.980139970779419","","",
"Türkiye","TUR","Okuryazarlık oranı, toplam yetişkin (15 yaş ve üzeri insanlara %'si)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","61.6276817321777","","","","","65.6943435668945","","","","","75.9682388305664","","","","","79.2324523925781","","","","","","","","","","","","","","87.3654937744141","88.2290573120117","88.1193923950195","88.6558990478516","","90.8167190551758","92.6605987548828","94.106086730957","94.9197463989258","95.2566604614258","95.4396286010742","95.6014175415039","","",
"Türkiye","TUR","Kişi başına düşen GSMB, PPP (cari uluslararası $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6040","6190","6610","7200","6780","7350","7890","8490","8990","8640","9440","8990","9150","9430","10710","11760","13470","14710","15890","15300","17300","19490","20480","22110","23820","24570","24980","",
"Türkiye","TUR","Kişi başına düşen GSMB, Atlas yöntemi (cari USD)","NY.GNP.PCAP.CD","","","","","","","","470","520","560","560","530","560","640","860","1110","1310","1410","1520","1820","1860","1860","1570","1400","1310","1310","1450","1740","1860","1920","2310","2590","2940","3140","2680","2850","2920","3190","3430","3580","4300","3550","3560","3910","5220","6760","7820","8880","9770","9580","10430","11230","11880","12530","12590","12000","11230","",
"Türkiye","TUR","GSMB, PPI (cari uluslararası $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","325900252951.096","339554196379.594","368515387251.542","408139983270.598","390174273300.921","429608343205.28","468652534502.773","512269770926.224","551360326874.918","537899092459.217","597120636566.348","577252389923.604","596195653960.839","623419349239.369","717938046406.119","798600150133.778","926525228408.322","1023478199887.36","1119316964634.76","1091466452871.7","1250957471503.13","1430765549961.91","1527530682272.79","1675596456767.95","1834832757961.94","1922838581815.52","1986545100014.47","",
